class	Title	Description
3	Стоп машинам: как протесты дальнобойщиков заставили отменить штрафы - РБК	 Президент России Владимир Путин в курсе акций  протеста , которые проводят  дальнобойщики , заявил его пресс-секретарь Дмитрий Песков. Но сбор платы в компетенции правительства, указал он: «Все-таки это больше тема правительства, больше тема Минтранса, думаю, что ... 
0	Протест с большой дороги - Газета.Ru	Крупнейшие за последнее время акции  протеста  захлестнули всю Россию. В четверг по всей стране тысячи  дальнобойщиков  взбунтовались против системы оплаты за проезд по федеральным трассам «Платон». В Тверской области в ходе акции  протеста  в ДТП погиб один из ...
3	В Кремле попросили не драматизировать протесты дальнобойщиков - РБК	 Пресс-секретарь президента России Дмитрий Песков прокомментировал новую волну  протестов дальнобойщиков . По его словам, в Кремле «не склонны преувеличивать и излишне драматизировать» ситуацию. «Действительно, происходит запуск системы, которая была анонсирована ... 
1	Власти отреагировали на протесты дальнобойщиков - Вести.Ru	 В России продолжаются  протесты дальнобойщиков  против введения с 15 ноября платы за проезд по федеральным дорогам для грузовиков полной массой выше 12 тонн. И вот теперь власти отреагировали на протестное движение, причем поводов для оптимизма эта реакция не дает. 
3	Губернатор Архангельской области назвал безмозглостью протесты дальнобойщиков - Телеканал ДОЖДЬ (Регистрация)	 Дорога — это слишком дорогое удовольствие, чтобы к нему так легко относиться», — сказал Орлов на встрече со студентами в Санкт-Петербурге. Акции  протестов дальнобойщиков , которые проходили по всей России, связаны с введением правил оплаты проезда для автомобилей, ... 
3	"В поддержку акции протеста дальнобойщиков создан сайт ""Антиплатон"" - Радио Свобода"	 В интернете появился сайт «АнтиПлатон», созданный работниками IT-сферы для поддержки российских  дальнобойщиков , протестующих против введения платежной системы «Платон». Лозунг сайта – « Дальнобойщики  России против платных дорог». На его главной странице ... 
0	По всей России проходят акции протеста дальнобойщиков: водители перекрыли трассы, устроив пробки - NEWSru.com	" Сразу в нескольких городах России во вторник проходит масштабная акция  протеста дальнобойщиков , бунтующих против введения ""Платона"" - системы взимания платы с водителей большегрузов за проезд по федеральным трассам. Водители вышли на митинги от Урала до ... "
3	Дальнобойщики против «Платона»: перерастет ли протест в вооруженное восстание - Московский комсомолец	 А на 5 декабря 2015 года запланирована всероссийская акция  протеста дальнобойщиков , которую решили организовать и возглавить коммунисты. Они же призвали присоединиться к акции профсоюзы и весь трудовой народ. А Алексей Навальный пообещал подготовить листовки и ... 
3	Протесты дальнобойщиков поддержали все политические силы, кроме единороссов - Ведомости	 Лидер Российской партии автомобилистов, член фракции единороссов Вячеслав Лысаков, поддержавший  дальнобойщиков , говорит, что ему непонятно, почему не реагируют его коллеги по фракции: «Коммунисты раньше вообще не интересовались автомобильной тематикой, а теперь ... 
3	Протесты дальнобойщиков поддержали все политические силы, кроме единороссов - Ведомости	 Акции  дальнобойщиков  интересуют и внесистемную оппозицию: Алексей Навальный поддержал  дальнобойщиков  из Дагестана, которые собираются 30 ноября двинуться на Москву. В Петербурге  дальнобойщики  на легковушках подъехали к Смольному, требуя встречи с властями, ... 
1	"В России набирают обороты протесты против ""Платона"" - СЕГОДНЯ"	" В РФ набирает обороты  протест дальнобойщиков , на которых власти решили переложить часть трат за дороги: с 15 ноября водители автомобилей массой более 12 тонн должны платить $2,3 за 100 км федеральных дорог, а в 2016-м ставку увеличат вдвое. ""Это уже третий налог, ... "
1	Российские дальнобойщики переносят протесты из регионов в Москву и Санкт-Петербург - BIN.ua	 Российские  дальнобойщики  переносят  протесты  из регионов в Москву и Санкт-Петербург Участники акций неповиновения новой системе оплаты за проезд по дорогам России перемещают  протест  из регионов к Москве и Санкт-Петербургу. В провинции акции не так эффективны, ... 
1	ПРОТЕСТ ДАЛЬНОБОЙЩИКОВ: ПЛАТНЫЕ ДОРОГИ – ГОЛОДНАЯ РОССИЯ - ТВ2	«Платные дороги – голодная Россия» – под таким лозунгам томские дальнобойщики собрались сегодня на акцию протеста. Они выступают против взимания дополнительного налога за проезд по федеральным трассам.  Протесты дальнобойщиков  проходят последние две недели по ...
3	Дальнобойщики Кубани собрали подписи за отставку министра транспорта РФ - РБК	" По словам собеседника агентства,  протесты дальнобойщиков  не идут на спад и водители готовы к дальнейшей борьбе против системы ""Платон"" и ориентируются на коллег в Дагестане, где проходят самые массовые протесты. По данным собеседника агентства, сейчас в регионе в ... "
3	В Госдуме заявили о прекращении акции протеста дагестанских дальнобойщиков - Lenta.ru	 С начала месяца  дальнобойщики  во многих регионах проводят акции  протеста . Правительство России ранее пошло  дальнобойщикам  на уступки. 10 ноября Дмитрий Медведев подписал постановление, которое снижает размер оплаты до 1,53 рубля за один километр до 29 февраля ... 
2	ЕР: дальнобойщики в Дагестане прекратили протесты - РИА Новости	" МОСКВА, 25 ноя — РИА Новости.  Дальнобойщики  в Дагестане прекратили акцию  протеста  против введения платы за большегрузы после переговоров с Росавтодором и другими компаниями, сообщила пресс-служба фракции ""Единая Россия"". Система ""Платон"" заработала в России с 15 ... "
1	Кубанские дальнобойщики потребовали отставки министра транспорта Максима Соколова - NEWSru.com	 Добавим, что один из координаторов протестов подчеркнул, что дальнобойщики края готовы поддержать всероссийскую акцию протеста, намеченную на 5 декабря. По словам собеседника РБК,  протесты дальнобойщиков  не идут на спад и водители готовы к дальнейшей борьбе против ... 
3	СМИ: дальнобойщики со всей страны приедут на акцию протеста в Москву 30 ноября - Газета.Ru	 По словам одного из лидеров  дальнобойщиков  в Санкт-Петербурге Сергея Гуляева, в течение двух дней водители проведут переговоры, чтобы согласовать свои планы. Как отмечается, участники намерены четко определить, сколько человек примут участие в акции, какие машины, из ... 
3	«Будем продолжать акцию, пока нам не пойдут на уступки» - Газета.Ru	 Чтобы добиться отмены сбора за проезд по федеральным трассам,  дальнобойщики  вместе с единомышленниками из других регионов планировали к концу месяца колонной двинуться на Москву. В столице водители намерены были продолжить забастовку и использовать более агрессивные методы, ... о дальнейшей  ...  
1	Дальнобойщики Тюмени вышли на бессрочную акцию протеста - Радио Свобода	" В Тюмени  дальнобойщики  объявили бессрочную акцию  протеста  против платежной системы ""Платон"" – водители намерены ежедневно выезжать на акцию ""Улитка"", медленно двигаясь по одному и тому же маршруту, сообщает интернет-портал ""URA.ru"". Остальное время грузовики ... "
0	"Протесты дальнобойщиков в РФ: Тюменские водители грузовиков устроили акцию протеста ""Улитка"" - Новое Время"	" Тюменские  дальнобойщики , протестующие против введения платы за проезд по федеральным трассам и созданной для этого системы Платон, устроили акцию  протеста  ""Улитка"". Как передает Русская служба BBC, колонна из нескольких десятков грузовиков выехала на объездную ... "
1	Ярославль: дальнобойщики требуют отставки правительства - Радио Свобода	"  Протесты дальнобойщиков  против введения сбора за проезд грузовиков массой более 12 тонн по федеральным трассам проходят во многих городах России с 11 ноября. Недовольство водителей вызвал не только новый сбор и разработанная для него платежная система ""Платон"", ... "
