3	Не забываем о требованиях пожарной безопасности в выходные дни	По окончании мероприятия сотрудники Главного управления МЧС России по Брянской области вручают домовладельцам памятки по соблюдению требований пожарной безопасности с указаниями номеров телефонов экстренных служб.
4	В Заполярье впервые для школьников проведен Лесной форум	"Сегодня в Полярном в школе № 1 подводят итоги и награждают победителей Лесного форума, который впервые проводится в эти дни в Мурманской области по инициативе детского объединения &quot;Школьное лесничество НордРост&quot; при поддержке регионального Министерства природных ресурсов и экологии."
1	Сжигание сухостоя переросло в масштабный пожар	В Киевской области продолжают гореть торфяники. Огнем охвачена площадь более десяти гектаров. Укрощают стихию более полусотни спасателей, привлечено спецтехнику и мотопомпы. Пожарные просят людей не сжигать на полях сухостой, ведь это является основной причиной возгораний.
4	Месячник гражданской обороны продолжается в Нижегородской области	"С 1-го октября 2014 года на территории Белгородской области проходит &quot;Месячник гражданской обороны&quot;. В рамках &quot;Месячника&quot; сотрудники Главного управления МЧС знакомят жителей региона с историей, функциями и деятельностью гражданской обороны России."
4	"Татарстан. К посадке деревьев в рамках Всероссийской акции ""Живи, лес!"" присоединились работники социальной сферы Камско-Устьинского муниципального района"	"Для гостей сотрудники заказника организовали экскурсию по территории заказника и чаепитие из лекарственных трав и местной родниковой воды. Встреча завершилась посадкой молодых елочек на территории заказника, приуроченной к республиканской акции &quot;День посадки леса&quot;."
3	Брянские полицейские вышли в лес – на охоту за нарушителями режима ЧС	В ходе рейдов полицейские выявляют очаги возгорания, принимают участие в организации тушения пожаров, задерживают нарушителей режима чрезвычайной ситуации – тех, кто разжигает в лесах костры, сжигает сухую траву, допускает складирование в лесу горючих материалов.
1	На территории России действую два лесных пожара	Общая площадь двух лесных пожаров на территории Российской Федерации составила 400 гектаров. Первый пожар зафиксировали в Хабаровском крае, а второй – в Воронежском государственном биосферном природном заповеднике, расположенном в Липецкой области.
3	На юге Рязанской области сохраняется высокий класс пожарной опасности	На рабочем совещание с руководителями муниципальных образований области в региональном управлении МЧС России обсудили ситуацию лесоторфяными пожарами в Рязанской области. Вице-губернатор области заметил, что период пожарной опасности в этом году затянулся довольно долго.
2	МЧС: Cитуация с пожарами в Гордеевском районе стабилизируется	Работы по тушению природных пожаров на Брянщине подходят к концу. Как рассказали в пресс-службе ГУ МЧС России по Брянской области, за прошедшие сутки удалось сократить площадь пожаров в радиационных районах области.
3	Брянская полиция наказал 64 нарушителя правил безопасности в лесах	С 10 октября брянская полиция выявила 64 административных правонарушения со стороны тех, кто пренебрег режимом чрезвычайной ситуации и правил пожарной безопасности в лесах.
4	Лесопользователи Алтая встали на защиту редких видов флоры и фауны	Марина Силантьева, член Общественного совета при Главном управлении природных ресурсов и экологии Алтайского края, заведующий кафедрой ботаники биологического факультета Алтайского государственного университета, доктор биологических наук, профессор: К мерам охраны растений, занесенных в Красную книгу, относится сохранение мест обитания, где эти виды живут.
3	Брянская полиция зафиксировала 64 нарушения режима ЧС в лесах	Шестьдесят четыре случая нарушения режима чрезвычайной ситуации и правил пожарной безопасности в лесах зафиксировала брянская полиция, сообщает областное УМВД. В отношении нарушителей составлены административные материалы.
4	Алтайские ученые спасают от лесорубов краснокнижный вид совы	Орнитологи Алтайского края борются с лесорубами, чтобы сохранить гнездовье редкого вида совы – бородатой неясыти. Птица занесена в Красную книгу региона – ученым известно всего семь гнезд этого крылатого хищника. Одно из них оказалось на участке леса, который уже в следующем году могут вырубить.
4	В учениях на случай внезапного извержения всемирно известного вулкана Фудзи приняли участие четыре тысячи человек - ДВ-РОСС	 Более четырех тыс. японцев приняли участие в масштабных учениях на случай внезапного  извержения  всемирно известного  вулкана  Фудзи — национального символа Японии. Мероприятия прошли сразу в трех префектурах — Яманаси, Сидзуока и Канагава, — на границе которых ... 
2	Иркутск последние новости: Торфяной пожар потушен возле Дзержинска в Иркутском районе - Интернет журнал @-news.info	  Торфяной пожар  потушен возле Дзержинска в Иркутском районе В пойме реки Ушаковки, в полутора километрах севернее поселка Дзержинска Иркутского района, ликвидированы очаги возгорания торфа. Еще пять очагов горения залежей торфа потушены в Усольском районе 15 ... 
3	В Гордеевском районе обводняют торфяники	На сегодня уровень воды в каналах в районе торфяных карт составляет 1 метр, ширина канала составляет 2,5 метра глубина - 2 метра, протяженность канала - 9 километров. Продолжаются мелиоративные работы по затоплению торфяных карт. Это необходимо для снижения пожарной опасности.
2	Площадь природных пожаров на Брянщине уменьшилась до двух гектаров	Работы по тушению природных пожаров на Брянщине продолжаются. За прошедшие сутки, говорят в пресс-службе ГУ МЧС России по Брянской области, огнеборцы сократили общую площадь пожаров в поселке Мирный и деревни Кожаны в Гордеевском районе площадь до двух гектаров.
3	В Каневском районе Краснодарского края прошла акция «Берегите лес»	"Дождливой погоде в крае предшествовала тёплая декада. В этот период в различных регионах России прошла информационно-профилактическая акция &quot;Берегите лес&quot;."
2	Торфяной пожар потушен возле Дзержинска в Иркутском районе	Торфяной пожар потушен возле Дзержинска в Иркутском районе В пойме реки Ушаковки, в полутора километрах севернее поселка Дзержинска Иркутского района, ликвидированы очаги возгорания торфа. Еще пять очагов горения залежей торфа потушены в Усольском районе 15 октября.
2	В минувшие сутки на территории ДФО ликвидировали 2 из 6 лесных пожаров	В минувшие сутки лесные службы Дальнего Востока боролись с 6 лесными пожарами, 4 из которых бушевали в Еврейской автономной области, 2 в Приморском крае. Силами лесопожарных формирований удалось ликвидировать 2 из них.
1	В Бурятии продолжают гореть леса	"На 19-е октября на землях лесного фонда России действовало восемь лесных пожаров на площади 292 га В том числе, в Тыве, Еврейской области, Забайкальском крае и Бурятии. В республике зафиксировано два очага общей площадью 6 га, сообщает &quot;Авиалесоохрана&quot;."
4	Более 10 пожаров произошло в Хабаровском крае за минувшие сутки	Прошедшие сутки принесли территории Хабаровского края 11 техногенных пожаров, из них в жилом секторе – 8, на прочих объектах - 3. К тушению пожаров привлекалось 154 человека личного состава и 44 единицы техники, сообщили ИА AmurMedia в пресс-службе ГУ МЧС России по Хабаровскому краю.
3	В Каневском районе прошла акция «Берегите лес»	"В Каневском районе сотрудники противопожарной службы совместно с представителями МВД и местного отдела по делам молодёжи провели рейд &quot;Берегите лес&quot;. Жителям Каневской раздали листовки и рассказали об опасности лесных пожаров."
4	Около 200 иркутян присоединились к субботнику в роще на Синюшиной горе	"Иркутск, 20.10.14 (ИА &quot;Телеинформ&quot;), – Жители иркутского микрорайона Синюшина гора 20 октября провели субботник в местной роще. Привести лес в порядок вышли около 200 человек. Самыми активными участниками субботника стали ученики школ № 2, 28, школы-интерната № 12."
